"","proj","suc","fail","total","br"
"7","adrianlopezroche--fdupes",1337,184,1521,0.879
"37","atomicobject--heatshrink",1362,249,1611,0.845
"49","bitly--dablooms",2346,414,2760,0.85
"62","cbsheng--tinyhttpd",3127,195,3322,0.941
"65","Celtoys--Remotery",1056,202,1258,0.839
"67","charliesome--jsos",2753,414,3167,0.869
"68","chentao0707--QrCodeScan",2041,497,2538,0.804
"98","CTurt--PS4-SDK",3804,149,3953,0.962
"100","Cyan4973--xxHash",1038,157,1195,0.869
"113","DhavalKapil--icmptunnel",4265,573,4838,0.882
"137","EZLippi--Tinyhttpd",2173,76,2249,0.966
"139","F5OEO--rpitx",3623,407,4030,0.899
"148","fcambus--logswan",3607,640,4247,0.849
"200","HunterHillegas--iOS-BetaBuilder",3146,347,3493,0.901
"211","jcloudpub--speedy",3450,703,4153,0.831
"224","yarrick--pingfs",1926,367,2293,0.84
"229","Xfennec--progress",1612,380,1992,0.809
"271","tj--mon",1570,257,1827,0.859
"281","teradeep--demo-apps",1434,314,1748,0.82
"295","stanfordnlp--GloVe",3522,98,3620,0.973
"340","RJ--ketama",3314,410,3724,0.89
"341","riolet--WAFer",1412,176,1588,0.889
"360","projectNe10--Ne10",2861,361,3222,0.888
"369","philipl--pifs",1015,41,1056,0.961
"373","PaulBatchelor--Soundpipe",1483,261,1744,0.85
"379","orangeduck--mpc",1703,392,2095,0.813
"440","matildah--hellcat",4102,727,4829,0.849
"456","liexusong--php-beast",1948,251,2199,0.886
"483","kokke--tiny-AES128-C",4180,263,4443,0.941
"494","juuso--keychaindump",3002,349,3351,0.896
